accession	marker_name	reference_group	primary_marker
HE608841.1	PhiB124-14	human_and_animal	1
NC_049977.1	PhiCrAss001	human	1
NC_024711.1	crAssphage	human	1
NC_001454.1	Human_adenovirus_F	other_viral_reference	0
NC_001538.1	BK_polyomavirus	other_viral_reference	0
NC_001699.1	JC_polyomavirus	other_viral_reference	0
NC_002076.2	Torque_teno_virus_1	other_viral_reference	0
NC_009238.1	KI_polyomavirus	other_viral_reference	0
NC_009539.1	WU_polyomavirus	other_viral_reference	0
NC_010277.2	Merkel_cell_polyomavirus	other_viral_reference	0
